Timestamp,Peer ID,Type,Peer,Message
2025-02-28 12:46:22,P4,Connected,P1,Established connection
2025-02-28 12:46:22,P4,Connected,P2,Established connection
2025-02-28 12:46:22,P4,Connected,P3,Established connection
2025-02-28 12:46:22,P4,Sent,P1,Hello from P4 at 12:46:22
2025-02-28 12:46:22,P4,Sent,P2,Hello from P4 at 12:46:22
2025-02-28 12:46:22,P4,Sent,P3,Hello from P4 at 12:46:22
2025-02-28 12:46:22,P4,Received,P1,Hello from P1 at 12:46:22
2025-02-28 12:46:22,P4,Received,P3,Hello from P3 at 12:46:22
2025-02-28 12:46:22,P4,Received,P2,Hello from P2 at 12:46:22
2025-02-28 12:46:24,P4,Sent,P1,Hello from P4 at 12:46:24
2025-02-28 12:46:24,P4,Received,P3,Hello from P3 at 12:46:24
2025-02-28 12:46:24,P4,Received,P1,Hello from P1 at 12:46:24
2025-02-28 12:46:24,P4,Sent,P2,Hello from P4 at 12:46:24
2025-02-28 12:46:24,P4,Received,P2,Hello from P2 at 12:46:24
2025-02-28 12:46:24,P4,Sent,P3,Hello from P4 at 12:46:24
2025-02-28 12:46:25,P4,Connected,P6,Established connection
2025-02-28 12:46:26,P4,Received,P1,Hello from P1 at 12:46:26
2025-02-28 12:46:26,P4,Received,P3,Hello from P3 at 12:46:26
2025-02-28 12:46:26,P4,Sent,P1,Hello from P4 at 12:46:26
2025-02-28 12:46:26,P4,Sent,P2,Hello from P4 at 12:46:26
2025-02-28 12:46:26,P4,Sent,P3,Hello from P4 at 12:46:26
2025-02-28 12:46:26,P4,Sent,P6,Hello from P4 at 12:46:26
2025-02-28 12:46:26,P4,Received,P2,Hello from P2 at 12:46:26
2025-02-28 12:46:27,P4,Received,P6,Hello from P6 at 12:46:27
2025-02-28 12:46:28,P4,Received,P1,Hello from P1 at 12:46:28
2025-02-28 12:46:28,P4,Received,P3,Hello from P3 at 12:46:28
2025-02-28 12:46:28,P4,Sent,P1,Hello from P4 at 12:46:28
2025-02-28 12:46:28,P4,Sent,P2,Hello from P4 at 12:46:28
2025-02-28 12:46:28,P4,Sent,P3,Hello from P4 at 12:46:28
2025-02-28 12:46:28,P4,Sent,P6,Hello from P4 at 12:46:28
2025-02-28 12:46:28,P4,Received,P2,Hello from P2 at 12:46:28
2025-02-28 12:46:29,P4,Received,P6,Hello from P6 at 12:46:29
2025-02-28 12:46:30,P4,Received,P1,Hello from P1 at 12:46:30
2025-02-28 12:46:30,P4,Sent,P1,Hello from P4 at 12:46:30
2025-02-28 12:46:30,P4,Received,P3,Hello from P3 at 12:46:30
2025-02-28 12:46:30,P4,Sent,P2,Hello from P4 at 12:46:30
2025-02-28 12:46:30,P4,Sent,P3,Hello from P4 at 12:46:30
2025-02-28 12:46:30,P4,Sent,P6,Hello from P4 at 12:46:30
2025-02-28 12:46:30,P4,Received,P2,Hello from P2 at 12:46:30
