Timestamp,Peer ID,Type,Peer,Message
2025-02-28 12:46:25,P6,Connected,P2,Established connection
2025-02-28 12:46:25,P6,Requested Peers,P2,Requested full peer list
2025-02-28 12:46:25,P6,Sent,P2,Hello from P6 at 12:46:25
2025-02-28 12:46:25,P6,Connected,P6,Established connection
2025-02-28 12:46:25,P6,Broadcast,P2,Informing about new peer P6
2025-02-28 12:46:26,P6,Received,P1,Hello from P1 at 12:46:26
2025-02-28 12:46:26,P6,Connected,P1,Established connection
2025-02-28 12:46:26,P6,Received,P3,Hello from P3 at 12:46:26
2025-02-28 12:46:26,P6,Connected,P3,Established connection
2025-02-28 12:46:26,P6,Received,P2,Hello from P2 at 12:46:26
2025-02-28 12:46:26,P6,Received,P4,Hello from P4 at 12:46:26
2025-02-28 12:46:26,P6,Connected,P4,Established connection
2025-02-28 12:46:27,P6,Sent,P1,Hello from P6 at 12:46:27
2025-02-28 12:46:27,P6,Sent,P4,Hello from P6 at 12:46:27
2025-02-28 12:46:27,P6,Sent,P3,Hello from P6 at 12:46:27
2025-02-28 12:46:27,P6,Sent,P2,Hello from P6 at 12:46:27
2025-02-28 12:46:27,P6,Received,P6,Hello from P6 at 12:46:27
2025-02-28 12:46:28,P6,Received,P1,Hello from P1 at 12:46:28
2025-02-28 12:46:28,P6,Received,P3,Hello from P3 at 12:46:28
2025-02-28 12:46:28,P6,Received,P4,Hello from P4 at 12:46:28
2025-02-28 12:46:28,P6,Received,P2,Hello from P2 at 12:46:28
2025-02-28 12:46:29,P6,Sent,P1,Hello from P6 at 12:46:29
2025-02-28 12:46:29,P6,Sent,P4,Hello from P6 at 12:46:29
2025-02-28 12:46:29,P6,Sent,P3,Hello from P6 at 12:46:29
2025-02-28 12:46:29,P6,Sent,P2,Hello from P6 at 12:46:29
2025-02-28 12:46:30,P6,Received,P1,Hello from P1 at 12:46:30
2025-02-28 12:46:30,P6,Received,P3,Hello from P3 at 12:46:30
2025-02-28 12:46:30,P6,Received,P4,Hello from P4 at 12:46:30
2025-02-28 12:46:30,P6,Received,P2,Hello from P2 at 12:46:30
2025-02-28 12:46:31,P6,Sent,P1,Hello from P6 at 12:46:31
2025-02-28 12:46:31,P6,Sent,P4,Hello from P6 at 12:46:31
2025-02-28 12:46:31,P6,Received,P6,Hello from P6 at 12:46:31
2025-02-28 12:46:31,P6,Sent,P3,Hello from P6 at 12:46:31
2025-02-28 12:46:31,P6,Sent,P2,Hello from P6 at 12:46:31
2025-02-28 12:46:32,P6,Received,P1,Hello from P1 at 12:46:32
2025-02-28 12:46:32,P6,Received,P4,Hello from P4 at 12:46:32
2025-02-28 12:46:32,P6,Received,P2,Hello from P2 at 12:46:32
2025-02-28 12:46:32,P6,Received,P3,Hello from P3 at 12:46:32
2025-02-28 12:46:33,P6,Sent,P1,Hello from P6 at 12:46:33
2025-02-28 12:46:33,P6,Sent,P4,Hello from P6 at 12:46:33
2025-02-28 12:46:33,P6,Sent,P3,Hello from P6 at 12:46:33
2025-02-28 12:46:33,P6,Sent,P2,Hello from P6 at 12:46:33
2025-02-28 12:46:33,P6,Received,P6,Hello from P6 at 12:46:33
2025-02-28 12:46:34,P6,Connected,P5,Established connection
2025-02-28 12:46:34,P6,Broadcast,P1,Informing about new peer P5
2025-02-28 12:46:34,P6,Broadcast,P4,Informing about new peer P5
2025-02-28 12:46:34,P6,Broadcast,P3,Informing about new peer P5
2025-02-28 12:46:34,P6,Broadcast,P2,Informing about new peer P5
2025-02-28 12:46:34,P6,Received,P1,Hello from P1 at 12:46:34
2025-02-28 12:46:34,P6,Received,P2,Hello from P2 at 12:46:34
2025-02-28 12:46:34,P6,Received,P3,Hello from P3 at 12:46:34
2025-02-28 12:46:34,P6,Received,P4,Hello from P4 at 12:46:34
2025-02-28 12:46:35,P6,Sent,P1,Hello from P6 at 12:46:35
2025-02-28 12:46:35,P6,Sent,P5,Hello from P6 at 12:46:35
2025-02-28 12:46:35,P6,Sent,P4,Hello from P6 at 12:46:35
2025-02-28 12:46:35,P6,Sent,P3,Hello from P6 at 12:46:35
2025-02-28 12:46:35,P6,Sent,P2,Hello from P6 at 12:46:35
2025-02-28 12:46:35,P6,Received,P6,Hello from P6 at 12:46:35
2025-02-28 12:46:36,P6,Received,P5,Hello from P5 at 12:46:36
2025-02-28 12:46:36,P6,Received,P1,Hello from P1 at 12:46:36
2025-02-28 12:46:36,P6,Received,P2,Hello from P2 at 12:46:36
2025-02-28 12:46:36,P6,Received,P3,Hello from P3 at 12:46:36
2025-02-28 12:46:36,P6,Received,P4,Hello from P4 at 12:46:36
2025-02-28 12:46:37,P6,Sent,P1,Hello from P6 at 12:46:37
2025-02-28 12:46:37,P6,Sent,P5,Hello from P6 at 12:46:37
2025-02-28 12:46:37,P6,Sent,P4,Hello from P6 at 12:46:37
2025-02-28 12:46:37,P6,Sent,P3,Hello from P6 at 12:46:37
2025-02-28 12:46:37,P6,Sent,P2,Hello from P6 at 12:46:37
2025-02-28 12:46:38,P6,Received,P5,Hello from P5 at 12:46:38
2025-02-28 12:46:38,P6,Received,P1,Hello from P1 at 12:46:38
2025-02-28 12:46:38,P6,Received,P2,Hello from P2 at 12:46:38
2025-02-28 12:46:38,P6,Received,P3,Hello from P3 at 12:46:38
2025-02-28 12:46:38,P6,Received,P4,Hello from P4 at 12:46:38
2025-02-28 12:46:39,P6,Sent,P1,Hello from P6 at 12:46:39
2025-02-28 12:46:39,P6,Sent,P5,Hello from P6 at 12:46:39
2025-02-28 12:46:39,P6,Sent,P4,Hello from P6 at 12:46:39
2025-02-28 12:46:39,P6,Sent,P3,Hello from P6 at 12:46:39
2025-02-28 12:46:39,P6,Sent,P2,Hello from P6 at 12:46:39
2025-02-28 12:46:39,P6,Received,P6,Hello from P6 at 12:46:39
2025-02-28 12:46:40,P6,Received,P5,Hello from P5 at 12:46:40
2025-02-28 12:46:40,P6,Received,P1,Hello from P1 at 12:46:40
2025-02-28 12:46:40,P6,Received,P2,Hello from P2 at 12:46:40
2025-02-28 12:46:40,P6,Received,P3,Hello from P3 at 12:46:40
2025-02-28 12:46:40,P6,Received,P4,Hello from P4 at 12:46:40
2025-02-28 12:46:41,P6,Sent,P1,Hello from P6 at 12:46:41
2025-02-28 12:46:41,P6,Sent,P5,Hello from P6 at 12:46:41
2025-02-28 12:46:41,P6,Sent,P4,Hello from P6 at 12:46:41
2025-02-28 12:46:41,P6,Received,P6,Hello from P6 at 12:46:41
2025-02-28 12:46:41,P6,Sent,P3,Hello from P6 at 12:46:41
2025-02-28 12:46:41,P6,Sent,P2,Hello from P6 at 12:46:41
2025-02-28 12:46:42,P6,Received,P5,Hello from P5 at 12:46:42
2025-02-28 12:46:42,P6,Received,P1,Hello from P1 at 12:46:42
2025-02-28 12:46:42,P6,Received,P2,Hello from P2 at 12:46:42
2025-02-28 12:46:42,P6,Received,P4,Hello from P4 at 12:46:42
2025-02-28 12:46:42,P6,Received,P3,Hello from P3 at 12:46:42
2025-02-28 12:46:43,P6,Sent,P1,Hello from P6 at 12:46:43
2025-02-28 12:46:43,P6,Sent,P5,Hello from P6 at 12:46:43
2025-02-28 12:46:43,P6,Sent,P4,Hello from P6 at 12:46:43
2025-02-28 12:46:43,P6,Sent,P3,Hello from P6 at 12:46:43
2025-02-28 12:46:43,P6,Sent,P2,Hello from P6 at 12:46:43
2025-02-28 12:46:43,P6,Received,P6,Hello from P6 at 12:46:43
2025-02-28 12:46:44,P6,Received,P1,Hello from P1 at 12:46:44
2025-02-28 12:46:44,P6,Received,P2,Hello from P2 at 12:46:44
2025-02-28 12:46:44,P6,Received,P4,Hello from P4 at 12:46:44
2025-02-28 12:46:44,P6,Received,P3,Hello from P3 at 12:46:44
2025-02-28 12:46:45,P6,Sent,P1,Hello from P6 at 12:46:45
2025-02-28 12:46:45,P6,Sent,P5,Hello from P6 at 12:46:45
2025-02-28 12:46:45,P6,Sent,P4,Hello from P6 at 12:46:45
2025-02-28 12:46:45,P6,Sent,P3,Hello from P6 at 12:46:45
2025-02-28 12:46:45,P6,Sent,P2,Hello from P6 at 12:46:45
2025-02-28 12:46:45,P6,Received,P6,Hello from P6 at 12:46:45
2025-02-28 12:46:46,P6,Received,P5,Hello from P5 at 12:46:46
2025-02-28 12:46:46,P6,Received,P1,Hello from P1 at 12:46:46
2025-02-28 12:46:46,P6,Received,P2,Hello from P2 at 12:46:46
2025-02-28 12:46:46,P6,Received,P4,Hello from P4 at 12:46:46
2025-02-28 12:46:46,P6,Received,P3,Hello from P3 at 12:46:46
2025-02-28 12:46:47,P6,Sent,P1,Hello from P6 at 12:46:47
2025-02-28 12:46:47,P6,Sent,P5,Hello from P6 at 12:46:47
2025-02-28 12:46:47,P6,Sent,P4,Hello from P6 at 12:46:47
2025-02-28 12:46:47,P6,Sent,P3,Hello from P6 at 12:46:47
2025-02-28 12:46:47,P6,Sent,P2,Hello from P6 at 12:46:47
2025-02-28 12:46:47,P6,Received,P6,Hello from P6 at 12:46:47
2025-02-28 12:46:48,P6,Received,P5,Hello from P5 at 12:46:48
2025-02-28 12:46:48,P6,Received,P4,Hello from P4 at 12:46:48
2025-02-28 12:46:48,P6,Received,P1,Hello from P1 at 12:46:48
2025-02-28 12:46:48,P6,Received,P2,Hello from P2 at 12:46:48
2025-02-28 12:46:48,P6,Received,P3,Hello from P3 at 12:46:48
2025-02-28 12:46:49,P6,Sent,P1,Hello from P6 at 12:46:49
